ID,name,crayfish.id,carapace.length.mm,sex,repro.form,claw.side,claw.length.mm,claw.width.mm,claw.strength.v,centroid.size,resid.str.length,resid.str.centroid
329,FO188R,FO188,31.645,m,2,r,21.933,8.858,2.625399,1.274478442,-5.476439916,-4.703173576
343,FO195R,FO195,30.208,m,2,r,21.294,8.373,4.194603,1.284110185,-3.622338112,-3.13646959
90,FO150L,FO150,28.411,m,1,l,21.783,9.505,10.280298,1.28469753,2.245336503,2.949072959
93,FO151R,FO151,31.916,m,1,r,24.491,10.066,12.090918,1.301793548,2.84859617,4.755255521
7,FO170R,FO170,26.307,m,2,r,15.094,6.939,5.079795,1.307663225,0.02712053,-2.257391011
138,FO23R,FO23,29.647,m,1,r,38.216,18.152,13.931715,1.316128004,-1.429890646,6.592331872
3,FO167R,FO167,25.162,m,2,r,13.372,5.482,3.078054,1.317956177,-1.206867703,-4.261803648
84,FO148L,FO148,22.38,m,1,l,15.059,6.374,4.094013,1.325761371,-0.943056739,-3.247870562
328,FO188L,FO188,31.645,m,2,l,22.92,9.716,2.524809,1.32895602,-6.017083331,-4.817903765
65,FO139R,FO139,17.09,m,2,r,10.941,5.497,3.399942,1.340905526,0.198880331,-3.945872376
137,FO23L,FO23,29.647,m,1,l,39.051,18.164,13.0767,1.343037033,-2.657189944,5.730332371
2,FO167L,FO167,25.162,m,2,l,12.934,6.719,5.039559,1.356778486,0.94991936,-2.310375358
310,FO179L,FO179,33.167,m,2,l,23.285,11.406,6.779766,1.362413815,-1.924861383,-0.571631063
311,FO179R,FO179,33.167,m,2,r,25.589,11.342,6.960828,1.36389143,-2.771036535,-0.390952592
80,FO146L,FO146,26.767,m,1,l,20.608,9.462,11.497437,1.376079771,3.986348617,4.142492805
121,FO165L,FO165,18.719,m,1,l,13.994,5.892,2.11239,1.379294891,-2.449850066,-5.243388711
134,FO21R,FO21,35.301,m,2,r,17.285,8.964,7.785666,1.394852703,1.756135367,0.425849107
124,FO16R,FO16,29.878,m,2,r,20.691,8.744,8.027082,1.395280466,0.478988112,0.667154077
86,FO149L,FO149,23.542,m,1,l,17.374,8.855,7.725312,1.395957885,1.656100765,0.365208246
133,FO21L,FO21,35.301,m,2,l,17.601,8.644,8.0472,1.39713169,1.876780938,0.686791574
263,FO97R,FO97,31.284,m,1,r,25.531,11.553,12.805107,1.409949082,3.099101733,5.441371694
109,FO159R,FO159,24.849,m,1,r,19.103,8.871,6.186285,1.413613225,-0.653799948,-1.17840137
186,FO51R,FO51,33.869,m,1,r,25.5,12.889,12.724635,1.423599922,3.032451066,5.357356485
196,FO57L,FO57,26.667,m,1,l,19.141,7.023,5.341329,1.435648559,-1.515698228,-2.029076857
12,FO173L,FO173,34.947,m,2,l,23.676,10.193,6.709353,1.439876185,-2.169601522,-0.662150178
104,FO157L,FO157,22.384,m,1,l,13.982,6.261,2.454396,1.442356934,-2.102493872,-4.917751081
72,FO142L,FO142,27.058,m,1,l,22.726,9.573,10.501596,1.443434799,2.046198464,3.129169149
116,FO162R,FO162,26.556,m,1,r,17.522,8.631,1.91121,1.447883131,-4.223986955,-5.462371459
42,FO119L,FO119,30.926,m,1,l,25.699,12.453,13.066641,1.45556346,3.285733024,5.691066036
326,FO187L,FO187,35.721,m,2,l,26.492,12.444,8.429442,1.469940048,-1.705024596,1.050135452
132,FO20R,FO20,28.391,m,2,r,24.475,10.872,9.133572,1.477704594,-0.101616239,1.752250088
73,FO142R,FO142,27.058,m,1,r,23.28,9.471,10.76313,1.484212518,2.060731864,3.380118893
304,FO176L,FO176,38.348,m,2,l,27.8,11.632,2.454396,1.489905815,-8.263241688,-4.930092858
327,FO187R,FO187,35.721,m,2,r,27.119,12.67,5.572686,1.499140649,-4.841328207,-1.814199849
68,FO140L,FO140,21.598,m,2,l,15.175,6.908,1.599381,1.505159866,-3.489407276,-5.789067196
95,FO152R,FO152,30.765,m,1,r,24.462,10.757,10.038882,1.511404052,0.809489804,2.648813064
43,FO119R,FO119,30.926,m,1,r,25.599,12.308,13.126995,1.52292963,3.39067197,5.733934488
314,FO181L,FO181,36.922,m,2,l,28.451,13.335,5.099913,1.539446221,-5.907972685,-2.297434555
315,FO181R,FO181,36.922,m,2,r,29.169,13.989,5.743689,1.567365811,-5.584316596,-1.660905357
201,FO59R,FO59,23.602,m,1,r,15.1,7.579,4.234839,1.601221091,-0.820510567,-3.178542826
305,FO176R,FO176,38.348,m,2,r,29.652,14.115,2.152626,1.610571547,-9.390724885,-5.263182829
250,FO89L,FO89,28.038,m,1,l,22.573,10.247,11.889738,1.665877744,3.502555431,4.459573907
81,FO146R,FO146,26.767,m,1,r,21.238,9.324,11.638263,1.81550949,3.846289458,4.169260524
154,FO33R,FO33,30.312,m,2,l,21.326,9.685,8.5260084,1.85478568,0.694800106,1.046811405
